Sentence,Sentiment,sentence
Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,positive,Les recettes de circulation ont augmenté de 5 % en Finlande et de 4 % en Suède en 2008 .
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,$SAP Q1 déçoit que les licences #software baissent. Problème réel? #Clud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,"La subdivision a réalisé un chiffre d' affaires de 480,7 millions d' euros l' année dernière , soit 414,9 millions d' euros , et un bénéfice opérationnel de 44,5 millions d' euros 7,4 millions d' euros ."
Viking Line has canceled some services .,neutral,Viking Line a annulé certains services.
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,"Ahlstrom Corporation STOCK EXCHANGE ANNONCE 7.2.2007 à 10.30 Au total, 56 955 nouvelles actions d'Ahlstrom Corporation ont été souscrites avec des droits d'option dans le cadre des programmes d'options d'achat d'actions I 2001 et II 2001 de la société."
$FB gone green on day,positive,$FB devenu vert le jour
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,Les revenus de SQL Server $MSFT ont augmenté à deux chiffres avec les revenus de SQL Server Premium augmentant à plus de 30% http://stks.co/ir2F
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,"Selon le PDG de L+ñnnen Tehtaat Matti Karppinen , la société vise à livrer des produits de poisson à ses clients un jour plus tôt qu'elle ne le fait actuellement ."
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,La part de la société est cotée sur NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,Elcoteq SE est inscrit sur la liste de Nasdaq OMX Helsinki Ltd.
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,Deux de ces contrats sont pour les vibrocompresseurs d'anode tournant qui seront livrés à Gansu Hualu Aluminium Co Ltd et un autre costumer sans nom.
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,"Aviva, Friends Life prévoit le meilleur avant la fusion de 5,6 milliards de livres"
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,"Au lieu d'être basé sur une boisson gazeuse, comme d'habitude, la boisson énergétique Teho est faite avec de l'eau douce."
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,L'entreprise prévoit d'augmenter le personnel spécialisé de l'unité à plusieurs dizaines - selon la situation du marché en 2010 .
The company closed last year with a turnover of about four million euros .,neutral,La société a fermé l'année dernière avec un chiffre d'affaires d'environ quatre millions d'euros.
Shire CEO steps up drive to get Baxalta board talking,positive,Shire PDG monte en voiture pour obtenir Baxalta conseil d'administration parler
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,Costco: Un premier jeu de dividendes de détail https://t.co/Fa5cnh2t0t $COST
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,"Le bâtiment de cinq étages, éco-efficace aura une surface de plancher brute d'environ 15 000 m2. Il comprendra également des appartements."
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,"Le premier volet de la série Cinéma se termine par un profil de l'inventeur finlandais Olavi Linden , dont le parcours artistique personnel et le travail chez Fiskars a conduit à des dizaines de prix de design ."
All are welcome .,neutral,Tous sont les bienvenus .
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,"Stockmann et la société suédoise AB Lindex ont conclu un accord le 30 septembre 2007 , par lequel Stockmann , ou une filiale à part entière de celle-ci , fera une offre publique d' appel d' offres pour l' ensemble des actions émises par Lindex ."
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,"HUHTAMAKI OYJ STOCK EXCHANGE LIBERATION , 16.9.2008 AT 13.32 La Journée des marchés de capitaux de Huhtamaki pour les investisseurs institutionnels et les analystes se tient à Espoo , le 16 septembre 2008 à partir de 13h30 heure de Finlande ."
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,`` Nous sommes heureux d'accueillir Tapeks Noma dans le groupe Cramo.
- Profit before taxes was EUR 105.9 82.7 million .,neutral,"- Le bénéfice avant impôts s' est élevé à 105,9 82,7 millions d' euros ."
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,Royal Dutch Shell acheter Groupe BG pour près de 70 milliards de dollars
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,"FinancialWire tm n' est pas un service de communiqué de presse , et ne reçoit aucune compensation pour ses nouvelles , avis ou distributions ."
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,"ASSA ABLOY Kaupthing Bank a donné une recommandation < < neutre > > et un objectif de prix d ' action de 174 couronnes 24,7 à 19 euros sur le fermoir suédois Assa Alloy AB ."
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,"Le poste incluait des coûts de restructuration de 1,6 million d' euros , alors qu' un an plus tôt , il s' élevait à 13 millions d' euros."
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,"En 2005 , la banque a affiché un bénéfice net de 8,2 millions de Lt ."
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,$AAPL après-midi selloff comme d'habitude sera brutal. se préparer à perdre une tonne d'argent.
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,$TSLA rappelant à peu près chaque modèle X @cnnbrk obtenu à court que même au travail vous sautez dans le commerce de l'argent
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,"Dolce & Gabbana a demandé à l'Union européenne de déclarer invalide la marque florale de Marimekko Corporation `` Unikko '', dans un différend continu entre les deux sociétés."
InterContinental Hotels first-quarter global room revenue lags estimates,negative,InterContinental Hotels 1er trimestre global recettes de chambres en retard estimés
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,"Selon la société finlandaise d' assurance retraite Varma , Varma a bénéficié de plus des deux tiers des recettes de la couverture de retraite liée aux revenus qui faisait l' objet d' appels d' offres en Finlande ."
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,"Une partie , 12,5 millions de dollars , sera enregistrée dans le cadre de ses gains dans un précédent litige de brevet avec le fabricant finlandais de téléphone Nokia Oyj ."
"L&G still paying price for dividend cut during crisis, chief says",negative,"L&G continue de payer le prix de la réduction des dividendes pendant la crise, dit le chef"
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,"Le volume des investissements dans les deux phases du projet est estimé à 300 millions de dollars des États-Unis ( 215,03 millions d' euros ) ."
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,"La Russie a représenté 9 % des recettes de la division magazine Lagardere , soit 114,40 millions d' euros ( 148,11 millions de dollars ) en 2009 , soit 18 % aux États-Unis ."
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,"La société estime également que les investissements déjà réalisés entraîneront une augmentation de ses ventes nettes pour 2010 à partir de 2009 lorsqu'elles ont atteint 141,7 millions d'euros ."
Profit of the accounting period was EUR 0.3 mn .,neutral,"Le bénéfice de l' exercice comptable s' est élevé à 0,3 million d' euros ."
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,"Les six brasseries ont enregistré une croissance de 5,2 pour cent des ventes nationales de bière l'an dernier à 270,21 millions de litres , contre 256,88 millions de litres vendus en 2005."
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,"En août-octobre 2010 , le résultat de l' entreprise avant impôts s' est élevé à 9,6 millions d' euros , contre 0,5 million d' euros au cours de la période correspondante de 2009 ."
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,"Les ventes et les ressources du projet de Systeemiimi seront également renforcées , a déclaré le directeur Paul Skogberg ."
Tesco share price jumps as Q3 sales top estimates,positive,Le prix de l'action de Tesco saute en tête des ventes du troisième trimestre
The fine print is here .,neutral,L'impression est ici.
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,Le prix des grumes s'est nettement amélioré à partir de 2009 et le prix du bois de pulpe a augmenté .
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"Ainsi , SysOpen Digia a obtenu , conformément à l' article 21 du chapitre 14 de la loi sur les sociétés finlandaises 29.9.1978 - 734 , le titre de toutes les actions de Sentera qui doivent être rachetées ."
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,"Le résultat dilué par action ( EPS ) est tombé à 0,63 EUR , contre 1,71 EUR ."
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,"À 15 h 37, heure de l'Est, un bloc de 2 400 contrats a changé de mains au prix de 0,45 $ ."
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,"Parmi les plus récentes livraisons de technologie, citons la technologie de raffinerie à Anrak Aluminium , une usine de granulation de minerai de fer à Tata Steel et des usines de frittage de minerai de fer à Bhushan Steel ."
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,$VIPS modèle similaire comme début de mai. U a-t-il vendu? Même maintenant.. va monter beaucoup plus haut après cette baisse.
The firm generated sales of 187 mln eur in 2005 .,neutral,L' entreprise a généré des ventes de 187 mln eur en 2005 .
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,"Stora Enso a également eu des réunions avec les autorités du travail , les Centres pour l'emploi et le développement économique et des représentants du gouvernement afin de trouver des solutions ."
AstraZeneca profit down as sales of stalwarts fade,negative,AstraZeneca profite moins que les ventes de stalwarts s'estompent
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO Crazy looking chart, mais approchant la ligne de résistance de cassure..."
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,La plupart des actions haussières sur Twitter pendant cette plongée. $YHOO $GDX $GOOGL $STZ $Gold $EW $VZ $CELG $SBUX $SCTY plus: https://t.co/iuZJelfwt3
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,Les ventes nettes de la société finlandaise GeoSentric sont tombées à 939 000 euros en janvier-mars 2009 .
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,"Cohen & Steers , Inc. : 5 534 626 actions représentant 4,985 % du capital social et des droits de vote ."
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,Plus de personnel a été recruté au Japon pour compléter son réseau de près de 50 sites de services dans plus de 20 pays dans le monde.
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,"Les sociétés papetières se trouvaient dans des territoires négatifs , avec Stora Enso R de 1,62 pct à 12,73 eur , UPM-Kymmene en baisse de 0,80 pct à 18,64 eur et M-real B 0,18 pct en baisse à 5,57 eur ."
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,L ' administration centralisée de Kauko-Telko sera dissoute et une partie appropriée sera transférée aux activités opérationnelles et à l ' administration du Groupe d ' ici à la fin de l ' année .
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,"Le bénéfice d' exploitation pour le trimestre avril-juin 2006 s' est élevé à 182 .2 millions d' euros sur les ventes de 3,62 milliards d' euros ."
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,Atria a choisi le DeLight pour attirer les consommateurs de 25-45 ans dans sa gamme de repas à micro-ondes Atria Fresh.
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,Finnois fournisseur de solutions informatiques Affecto Oyj HEL : AFE1V a déclaré aujourd'hui sa perte nette de 115 000 USD 152 000 au deuxième trimestre 2010 sur un bénéfice de 845 000 EUR au cours de la période correspondante un an plus tôt .
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,Les sanctions américaines mettent en péril les plans de l'alliance Gazprom-Shell
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,"Le bénéfice de la période s' est élevé à 10,9 millions d' euros , contre 14,3 millions d' euros en 2009 ."
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,"Le bénéfice pour la période s' est élevé à 5,9 millions d' euros , en hausse par rapport à 1,3 million d' euros ."
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,"Le bénéfice d' exploitation est tombé à 20,3 millions d' euros , contre 74,2 millions d' euros au deuxième trimestre de 2008 ."
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,"Cependant , les ventes sont revenues à la croissance en avril-juin 2010 , a déclaré le PDG Pekka Eloholma ."
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,"Le bénéfice d' exploitation s' est élevé à 18,6 millions d' euros , soit 8,3 % des ventes nettes ."
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,"Selon l' entreprise , l' évolution de la situation du marché et une concurrence plus forte en matière de prix ont considérablement réduit la demande d' emballages de pain fabriqués à l' usine de Kauhava ."
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,"Dans le cadre de l' accord , Digia emploiera 19 personnes de Nokia à Oslo et dans la Silicon Valley aux États-Unis ."
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"L'unité brésilienne du fournisseur finlandais de solutions de sécurité F-Secure a signé 1 500 nouveaux clients l'an dernier , source d'informations en ligne Reseller Web a cité le directeur commercial de la division , Vladimir Brand+úo , comme l'a dit ."
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,"La juste valeur des biens d' investissement de l' entreprise est tombée à 2,768 milliards d' euros à la fin de 2009 , contre 2,916 milliards d' euros l' année précédente ."
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,"Les concessionnaires ont déclaré que la part a été largement touchée par la déception des investisseurs au sujet d' une marge de raffinage de seulement 9,48 usd par baril pour le trimestre et la performance de son unité de transport , qui a vu EBIT chuter à 5 mln eur de 20 mln eur par an au milieu d' une baisse des volumes et des taux pétroliers ."
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,""" C ' est un témoignage de la qualité de notre solution LTE et de notre engagement envers le marché japonais "" , a-t-il ajouté."
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,L ' objectif des entreprises est de finaliser les négociations et de signer les contrats au début d' octobre 2008 .
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,"Metso Fondries Jyvaskyla Oy cessera la production sur cette ligne d'ici le 30 septembre 2008 , a déclaré la société ."
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,"Au total, six analystes interrogés ont évalué M-real - deux ont donné "" acheter "" - "" accumuler "" , trois ont donné "" tenir "" et un seul a donné "" vendre "" ."
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,"En septembre 2010 , le groupe finlandais a accepté d' acheter la société danoise Rose Poultry A-S pour un montant allant jusqu' à 23 millions d' euros , à la fois en espèces et en actions ."
$YANG Double bottom 5.2,positive,"$YANG Double bas 5,2"
Tesco share price down as grocer faces SFO investigation outcome,negative,Prix de l'action Tesco en baisse à mesure que l'épicier fait face au résultat de l'enquête SFO
$aapl news is becoming very bullish again http://stks.co/tMU,positive,Les nouvelles de $aapl redeviendront très haussières http://stks.co/tMU
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,"GS Engineering installera les vannes dans une usine de GNL de gaz naturel liquéfié qu'elle a construite pour l'exploitant d'usines d'extraction de GNL et de gaz des EAU GASCO à Ruwais, EAU."
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,Les pourcentages d' actions et de droits de vote ont été calculés proportionnellement au nombre total d' actions inscrites au registre du commerce et au nombre total de droits de vote qui leur sont associés .
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,"M-Real a dit qu ' il n ' y avait < < aucun motif > > pour les rumeurs, qui < < circulaient sur le marché depuis quelques mois > > ."
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,"Lember a déclaré que la question était également d' actualité en Estonie , où un projet de loi a été rédigé au ministère des Affaires sociales qui supprimerait les pensions de vieillesse à des conditions favorables ."
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,"- Moody's a déclaré qu' il a accordé à P A1 des notations d' endettement à long terme non garanties et P P-1 à court terme au prêteur finlandais Aktia Bank 's 1 milliard d' euros1 ,4 milliards d' euros en note à moyen terme EMTN programme du 25 mars 2011 ."
$TSLA recall,negative,$TSLA rappel
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,"La fourniture de liquidités a été interrompue le 11 mai 2007 lorsque les actions d' Aspocomp Group Oyj ont été négociées à un niveau inférieur à 0,50 % ( libération boursière d' Aspocomp 11.5.2007 ) ."
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,"Hargreaves Lansdown les marchés faibles pour voir les actifs augmenter 2,6 pour cent"
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,"À 12 h 59 , l' indice OMX Helsinki 25 était de 0,32 pct inférieur à 2 694,81 ."
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,"Cette décision signifie des licenciements temporaires de durée déterminée dans les unités de la société Nastola et Jyvaskyla , respectivement dans le sud et le centre de la Finlande ."
The value of the orders is over EUR 10mn .,neutral,La valeur des commandes est supérieure à 10 millions d'euros .
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,Mme Laakso sera responsable des fonctions RH de HKScan et de leur développement dans tous les domaines du marché du Groupe.
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,"Fiskars est également engagé dans la fourniture mondiale de solutions et de services d'équipement maritime et énergétique par l'intermédiaire de sa société associée, Wartsila Corporation."
Aberdeen Asset Management Gains Foothold In China,positive,Aberdeen Asset Management gagne du terrain en Chine
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,"La compagnie de chemin de fer VR, qui domine la Finlande, prévoit de placer les passagers infectés pour un voyage sur de longues distances dans un transport séparé."
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,"En novembre , le gouvernement finlandais a réduit sa participation dans la société à 31,1 pour cent, contre 38 pour cent ."
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,"La société finlandaise Exel Composites , qui conçoit , fabrique et commercialise des profils et tubes composites pour diverses applications industrielles , signale que ses ventes nettes ont diminué de 0,6 % au deuxième trimestre de 2010 , passant de 19,3 millions d' euros au cours de la période correspondante en 2009 à 19,2 millions d' euros ."
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,"De Bavelloni 's et NST 's joint ventures , Bavelloni Tools , complète les semi-produits qui sont produits en Italie en outils de haute qualité qui seront vendus sous la marque DiaPol ."
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,L'outil est un brevet en attente de conception qui permet aux consommateurs d'exposer l'ensemble de leur projet sur une plaque amovible à l'aide de plusieurs timbres transparents de tout type .
$GOOGL is a short below 740 into the upper BB and is overbought,negative,$GOOGL est un court en dessous de 740 dans le BB supérieur et est suracheté
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,"LUMIÈRES OUT Avant le couvre-feu, bouclez-vous avec le dernier best-seller et traitez vos yeux à la lumière parfaite de lecture de Luceplan."
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,"UPM-Kymmene Corp. , le plus grand fabricant mondial de papier magazine , a déclaré mardi une baisse des bénéfices de 19 pour cent , les prix du papier étant plus bas , des coûts plus élevés et un chiffre d' affaires élevé en euros ."
The total value of the contract is some EUR 8 million .,neutral,La valeur totale du contrat s' élève à environ 8 millions d' euros .
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,"La condition préalable à l' inclusion dans le programme et à la réception de gains est que les employés clés acquièrent des actions d' Aspo au montant déterminé par la Commission à l' avance , dans le maximum ."
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,M. Doring travaille pour Eaton depuis 1989 et a occupé le poste de directeur de l'unité de contrôle de l'énergie d'Eaton depuis janvier 2007.
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,"Le magasin de 250 m2 de 2 691 pi2 dans le premier quartier commerçant de Copenhague a été inauguré aujourd'hui , renforçant encore la présence de l'entreprise dans les capitales nordiques ."
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,"Dans les états financiers du premier trimestre 2010 , Tikkurila est comptabilisée sous la rubrique « Opérations abandonnées » ."
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,"Le deuxième plus grand fabricant d' acier inoxydable au monde a déclaré un bénéfice net de 172 millions d' euros , soit , l' année précédente , , 4,31 dollars des États-Unis par action , contre 603 millions d' euros , soit 0,94 euro par action , au cours de la période de trois mois allant jusqu' au 31 décembre ."
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,"Nom du demandeur : Jot Automation OYNom de l'inventeur : Mammila Tuomo , Piirainen Mika et Kellokoski MikaNo de demande : 2424-KOLNP-2008 Date de dépôt de la demande : 16-06-2008Date de publication : 30/01/2009"
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,Netflix s'efforce de créer des clients fidèles $NFLX https://t.co/5QXBkoBphe
