Sentence,Sentiment,sentence
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,Dos de estos contratos son para vibrocompactores de ánodo giratorios que serán entregados a Gansu Hualu Aluminium Co Ltd y a otro cliente sin nombre.
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,"Aviva, Friends Life pronósticos superiores antes de la fusión de 5.600 millones de libras"
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,"En lugar de estar basado en un refresco , como es habitual , la bebida energética Teho se hace con agua dulce ."
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,La compañía planea aumentar el personal especializado de la unidad a varias docenas -- dependiendo de la situación del mercado durante el 2010 .
The company closed last year with a turnover of about four million euros .,neutral,La empresa cerró el año pasado con una facturación de unos cuatro millones de euros.
Shire CEO steps up drive to get Baxalta board talking,positive,El CEO de Shire sube la unidad para conseguir que la junta de Baxalta hable
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,Costco: Un juego de Dividendos de Premier Retail https://t.co/Fa5cnh2t0t $COST
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,"El edificio de cinco plantas, eco-eficiente tendrá una superficie bruta del piso de unos 15.000 metros cuadrados. También incluirá apartamentos."
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,"La primera entrega de la serie Cinema concluye con un perfil del inventor finlandés Olavi Linden , cuyo viaje artístico personal y trabajo en Fiskars ha llevado a decenas de premios de diseño."
All are welcome .,neutral,Todos son bienvenidos.
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,"Stockmann y la empresa sueca AB Lindex celebraron un acuerdo el 30 de septiembre de 2007 , en virtud del cual Stockmann , o una filial de propiedad exclusiva de la misma , hará una oferta pública para todas las acciones emitidas de Lindex ."
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,"HUHTAMAKI OYJ STOCK INTERCAMBIO DE LIBERACIÓN , 16.9.2008 A las 13.32 El Día de los Mercados de Capitales de Huhtamaki para inversores institucionales y analistas se celebra en Espoo , 16 de septiembre de 2008 a partir de las 13.30 horas hora finlandesa ."
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,``Nos complace dar la bienvenida a Tapeks Noma en el grupo Cramo.
- Profit before taxes was EUR 105.9 82.7 million .,neutral,"- El beneficio antes de impuestos fue de 105,9 82,7 millones de euros ."
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,Royal Dutch Shell comprará BG Group por casi 70 mil millones de dólares
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,"FinancialWire TM no es un servicio de comunicados de prensa , y no recibe compensación por sus noticias , opiniones o distribuciones ."
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,"ASSA ABLOY Kaupthing Bank dio una recomendación "" neutral "" y un objetivo de precio de las acciones de 174 coronas de 24,7 a 19 euros al fabricante sueco de cerraduras Assa Abloy AB ."
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,"La partida incluía costes de reestructuración de 1,6 millones de euros , mientras que un año antes eran 13,1 millones de euros . El SPE diluido ascendía a 0,3 euros frente a una pérdida por cuota de 0,1 euros ."
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,"En 2005 el banco registró un beneficio neto de 8,2 millones de Lt ."
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,$AAPL tarde venta como de costumbre será brutal. prepárate para perder una tonelada de dinero.
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,$TSLA recordando casi todos los modelos X @cnnbrk llegó a corto que incluso en el trabajo se salta en el comercio de dinero
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,"Dolce & Gabbana ha pedido a la Unión Europea que declare inválida la marca de patrón floral ""Unikko"" de Marimekko Corporation, en una disputa continua entre las dos empresas."
InterContinental Hotels first-quarter global room revenue lags estimates,negative,InterContinental Hotels primer trimestre global de ingresos de habitaciones desfasadas estimaciones
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,"Según la empresa finlandesa de seguros de pensiones Varma , Varma era el beneficiario de más de dos tercios de los ingresos de la cobertura de la pensión relacionada con los ingresos que se encontraba en licitación en Finlandia ."
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,"Una porción , $ 12,5 millones , se registrará como parte de sus ganancias en una disputa de patente previa con el fabricante finlandés de teléfonos Nokia Oyj ."
"L&G still paying price for dividend cut during crisis, chief says",negative,"L&G sigue pagando precio por la reducción de dividendos durante la crisis, dice el jefe"
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,"El volumen de inversiones en las dos fases del proyecto se estima en 300 millones de dólares de los EE.UU. ( 215,03 millones de euros ) ."
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,"Rusia representó el 9 % de los ingresos de la división de revistas Lagardere , es decir , 114,40 millones EUR ( 148,11 millones USD ) en 2009 , EE.UU , lo que representa el 18 % ."
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,"La empresa también estima que las inversiones ya realizadas darán lugar a un aumento de sus ventas netas para 2010 con respecto a 2009, cuando alcanzaron los 141,7 millones EUR ."
Profit of the accounting period was EUR 0.3 mn .,neutral,"El beneficio del ejercicio contable fue de 0,3 millones de euros ."
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,"Las seis cervecerías registraron un crecimiento de 5,2 por ciento en las ventas nacionales de cerveza el año pasado a 270,21 millones de litros , a partir de 256,88 millones de litros vendidos en 2005."
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,"En agosto y octubre de 2010 , el resultado de la empresa antes de impuestos ascendió a 9,6 millones de euros , frente a 0,5 millones de euros en el período correspondiente del 2009 ."
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,"Systeemitiimi 's ventas y recursos del proyecto también se fortalecerán, director Paul Skogberg dijo."
Tesco share price jumps as Q3 sales top estimates,positive,El precio de la acción de Tesco salta como estimaciones superiores de ventas de Q3
The fine print is here .,neutral,La letra pequeña está aquí.
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,El precio de los troncos ha mejorado claramente a partir de 2009 y también el precio de la pulpa ha subido.
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"Así , SysOpen Digia ha obtenido , de conformidad con el capítulo 14 Sección 21 de la Ley de sociedades finlandesas 29.9.1978 - 734 , el título de todas las acciones de Sentera que se van a canjear ."
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,"Las ganancias diluidas por acción ( EPS ) disminuyeron de 1,71 EUR a 0,63 EUR ."
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,"A las 3:37 p.m. hora del este , un bloque de 2.400 contratos cambiaron de manos a un precio de puja de $ 0,45 ."
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,"Algunas de las entregas de tecnología más recientes incluyen tecnología de refinerías a Anrak Aluminium , una planta de peletización de mineral de hierro a Tata Steel y plantas de sinterización de mineral de hierro a Bhushan Steel ."
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,$VIPS patrón similar como a principios de mayo. U vendido? Lo mismo ahora .. subirá mucho más después de esta caída.
The firm generated sales of 187 mln eur in 2005 .,neutral,La empresa generó ventas de 187 millones de euros en 2005 .
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,"Stora Enso también ha tenido reuniones con las autoridades laborales, los Centros de Empleo y Desarrollo Económico y representantes del gobierno para encontrar soluciones."
AstraZeneca profit down as sales of stalwarts fade,negative,AstraZeneca ganancias a medida que las ventas de stallwarts se desvanecen
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO Gráfico de aspecto loco, pero cerca de la línea de resistencia de ruptura..."
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,La mayoría de las acciones alcistas en Twitter durante esta inmersión. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY más: https://t.co/iuZJelfwt3
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,Las ventas netas de Finnish GeoSentric disminuyeron a 939.000 euros en enero y marzo de 2009 .
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,"Cohen & Steers , Inc . : 5 534 626 acciones que representan el 4,985 % del capital social y los derechos de voto ."
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,Se ha contratado más personal en el Japón para complementar aún más su red de cerca de 50 lugares de servicios en más de 20 países de todo el mundo.
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,"Las empresas de papel se encontraban en territorios negativos , con Stora Enso R vaciado 1.62 pct a 12.73 eur , UPM-Kymmene abajo 0.80 pct a 18.64 eur y M-real B 0.18 pct inferior a 5.57 eur ."
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,La administración centralizada de Kauko-Telko se disolverá y las partes apropiadas de la misma se transferirán a las actividades operativas y a la administración del Grupo a finales de año .
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,"Los beneficios de explotación del trimestre de abril a junio de 2006 ascendieron a 182 millones EUR ,2 millones EUR en ventas de 3 000 millones EUR ."
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,Atria eligió el DeLight para atraer a los consumidores del grupo de edad 25-45 a su gama Atria Fresh de comidas microondas.
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,Proveedor finlandés de soluciones informáticas Affecto Oyj HEL : AFE1V dijo hoy que su caída a una pérdida neta de EUR 115.000 USD 152.000 en el segundo trimestre de 2010 de un beneficio de EUR 845.000 en el período correspondiente del año anterior .
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,Las sanciones estadounidenses ponen en peligro los planes de alianza Gazprom-Shell
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,"El beneficio del período fue de 10,9 millones de euros , frente a 14,3 millones de euros en 2009 ."
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,"El beneficio del período fue de 5,9 millones de euros , frente a 1,3 millones de euros ."
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,"Los beneficios de explotación se redujeron a 20,3 millones de euros de 74,2 millones de euros en el segundo trimestre del 2008 ."
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,"Sin embargo , las ventas volvieron a crecer en abril-junio de 2010 , dijo el CEO Pekka Eloholma ."
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,"Los beneficios de explotación ascendieron a 18,6 millones de euros o al 8,3 % de las ventas netas ."
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,"Los cambios en la situación del mercado y una competencia de precios más fuerte han reducido sustancialmente la demanda de envases de pan fabricados en la planta de Kauhava , según la empresa ."
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,"En relación con el acuerdo, Digia empleará a 19 personas de Nokia en Oslo y en Silicon Valley en los Estados Unidos."
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"La unidad brasileña del proveedor de soluciones de seguridad finlandés F-Secure firmó 1.500 nuevos clientes el año pasado , fuente de noticias en línea Reseller Web citó el director comercial de la división , Vladimir Brando , como diciendo ."
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,"El valor razonable de las propiedades de inversión de la empresa se redujo a 2.768 millones EUR a finales de 2009 , frente a los 2.916 millones EUR del año anterior ."
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,"Los concesionarios dijeron que la acción fue golpeada en gran medida por la decepción del inversor sobre un margen de refinado de sólo 9,48 usd por barril para el trimestre y el rendimiento de su unidad de envío , que vio EBIT caer a 5 mln eur de 20 mln eur al año en medio de una caída de volúmenes y tasas de petroleros ."
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,""" Es un testimonio de la calidad de nuestra solución de LTE y de nuestro compromiso con el mercado japonés "" , añadió."
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,El objetivo de las empresas es concluir las negociaciones y firmar los contratos a principios de octubre de 2008 .
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,"Metso Foundries Jyvaskyla Oy suspenderá la producción en esta línea antes del 30 de septiembre de 2008 , dijo la compañía ."
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,"Un total de seis de los analistas encuestados valoraron M-real -- dos dieron `` comprar '' - `` acumular '' , tres dieron `` mantener '' y sólo uno dio `` vender '' ."
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,"En septiembre de 2010 , el grupo finlandés acordó comprar la empresa danesa Rose Poultry A-S por un máximo de 23 ,9 millones de euros en una combinación de efectivo y existencias ."
$YANG Double bottom 5.2,positive,$YANG Doble fondo 5.2
Tesco share price down as grocer faces SFO investigation outcome,negative,El precio de las acciones de Tesco bajó mientras el tendero se enfrentaba al resultado de la investigación de la SFO
$aapl news is becoming very bullish again http://stks.co/tMU,positive,$aapl news se está volviendo muy alcista de nuevo http://stks.co/tMU
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,"GS Engineering instalará las válvulas en una planta de GNL de gas natural licuado que ha construido para el operador de plantas de extracción de GNL de EAU GASCO en Ruwais, EAU."
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,Los porcentajes de acciones y derechos de voto se han calculado en proporción al número total de acciones registradas en el Registro Mercantil y al número total de derechos de voto relacionados con ellas .
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,"M-Real dijo que "" no hay motivos "" para los rumores, que "" han estado circulando en el mercado durante algunos meses "" ."
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,"Lember dijo que el asunto era de actualidad también en Estonia , donde se ha redactado un proyecto de ley en el Ministerio de Asuntos Sociales que eliminaría las pensiones de vejez en condiciones favorables ."
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,- Moody 's dijo que dio P A1 a largo plazo alto sin garantía y P P-1 calificaciones de deuda a corto plazo al prestamista finlandés Aktia Bank EUR1 mil millones USD1 .4 mil millones de euros nota a medio plazo EMTN programa de 25 de marzo de 2011 .
$TSLA recall,negative,$TSLA recuerdo
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,"La provisión de liquidez se interrumpió el 11 de mayo de 2007 , cuando las acciones de Aspocomp Group Oyj cotizaron por debajo del 0,50 céntimo ( versión en bolsa de Aspocomp 11.5.2007 ) ."
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,"Hargreaves Lansdown dólares mercados débiles para ver activos aumentar 2,6 por ciento"
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,"A las 12.59 pm , el índice OMX Helsinki 25 fue 0,32 pct más bajo en 2.694,81 ."
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,"La decisión significa despidos temporales de duración fija en las unidades Nastola y Jyvaskyla de la empresa , en el sur y el centro de Finlandia , respectivamente ."
The value of the orders is over EUR 10mn .,neutral,El valor de los pedidos es superior a 10 millones de euros .
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,La Sra. Laakso se encargará de las funciones de HKScan en materia de recursos humanos y de su desarrollo en todas las esferas del mercado del Grupo.
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,"Fiskars también se dedica al suministro global de soluciones y servicios de equipos marinos y energéticos a través de su empresa asociada, Wartsila Corporation."
Aberdeen Asset Management Gains Foothold In China,positive,Gestión de activos de Aberdeen gana punto de apoyo en China
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,"La empresa ferroviaria VR , que domina Finlandia , tiene previsto colocar a los pasajeros infectados para un viaje de larga distancia en un carro separado ."
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,"En noviembre , el gobierno finlandés redujo su propiedad en la empresa a 31.1 por ciento de 38 por ciento ."
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,"Finnish Exel Composites , una empresa tecnológica que diseña , fabrica y comercializa perfiles y tubos compuestos para diversas aplicaciones industriales , informa que sus ventas netas disminuyeron en un 0,6 % en el segundo trimestre de 2010 a 19,2 millones de euros , frente a 19,3 millones de euros en el período correspondiente de 2009 ."
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,"De Bavelloni 's y NST 's joint ventures , Bavelloni Tools , completa los semiproductos que se producen en Italia en herramientas de alta calidad que se venderán bajo la marca DiaPol ."
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,La herramienta es un diseño pendiente de patente que permite a los consumidores exponer todo su proyecto en una placa extraíble utilizando múltiples sellos claros de cualquier tipo.
$GOOGL is a short below 740 into the upper BB and is overbought,negative,$GOOGL es un corto por debajo de 740 en el BB superior y es sobrecomprado
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,"LUZ OUT Antes del toque de queda , acurrucarse con el último bestseller y tratar sus ojos a la luz de lectura perfecta de Luceplan ."
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,"UPM-Kymmene Corp. , el mayor fabricante de papel de revista del mundo , informó el martes de una caída de los beneficios del 19 por ciento , ya que los precios del papel más bajos , los costos más altos y un euro fuerte perjudican los ingresos ."
The total value of the contract is some EUR 8 million .,neutral,El valor total del contrato es de unos 8 millones de euros .
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,"El requisito previo para la inclusión en el programa y para la recepción de cualquier ganancia es que los empleados clave adquieran acciones de Aspo hasta la cantidad determinada por la Junta por adelantado , en el máximo ."
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,El Sr. Doring ha estado con Eaton desde 1989 y ha actuado como gerente de la unidad de negocios de Eaton 's Power Controls Business Unit desde enero de 2007 .
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,"La tienda de 250 metros cuadrados 2.691 pies cuadrados en el distrito comercial más importante de Copenhague se inauguró hoy , fortaleciendo aún más la presencia de la empresa en las capitales nórdicas ."
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,"En el estado financiero correspondiente al primer trimestre de 2010 , Tikkurila se presenta en relación con las operaciones interrumpidas ."
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,"El segundo mayor fabricante de acero inoxidable del mundo dijo que el beneficio neto en el período de tres meses hasta el 31 de diciembre aumentó a 603 millones de euros 781 millones de dólares , es decir , 33 4,31 dólares por acción , de 172 millones de euros , es decir , 0,94 euros por acción , el año anterior ."
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,"Nombre del solicitante : Jot Automation OYNombre del inventor : Mammila Tuomo , Piirainen Mika y Kellokoski MikaNo de solicitud : 2424-KOLNP-2008 AFecha de presentación de la solicitud : 16-06-2008Fecha de publicación : 30/01/2009"
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,Netflix aumenta los esfuerzos para crear clientes leales $NFLX https://t.co/5QXBkoBphe
