Sentence,Sentiment,sentence
The company closed last year with a turnover of about four million euros .,neutral,Das Unternehmen schloss im vergangenen Jahr mit einem Umsatz von rund vier Millionen Euro .
Shire CEO steps up drive to get Baxalta board talking,positive,"Shire CEO Schritte nach oben Antrieb, um Baxalta Board sprechen"
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,Costco: Ein Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,"Das fünfgeschossige, ökoeffiziente Gebäude wird eine Bruttogeschossfläche von etwa 15.000 qm haben. Es wird auch Wohnungen umfassen."
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,"Der erste Teil der Cinema Series endet mit einem Profil des finnischen Erfinders Olavi Linden , dessen persönliche künstlerische Reise und Arbeit bei Fiskars zu Dutzenden von Designpreisen geführt hat ."
All are welcome .,neutral,Alle sind willkommen.
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,"Stockmann und das schwedische Sektorunternehmen AB Lindex schlossen am 30 . September 2007 eine Vereinbarung , wonach Stockmann oder eine hundertprozentige Tochtergesellschaft davon ein öffentliches Angebot für alle ausgegebenen Aktien von Lindex machen wird ."
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Der Kapitalmarkttag von Huhtamaki für institutionelle Anleger und Analysten findet in Espoo , 16. September 2008 , ab 13.30 Uhr finnischer Zeit statt ."
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,"`` Wir freuen uns, Tapeks Noma in Cramo Gruppe begrüßen ."
- Profit before taxes was EUR 105.9 82.7 million .,neutral,"- Der Gewinn vor Steuern betrug 105,9 82,7 Mio EUR ."
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,Royal Dutch Shell zu kaufen BG Gruppe für fast $70 Milliarden
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,"FinancialWire tm ist kein Pressemitteilungsdienst und erhält keine Entschädigung für seine Nachrichten , Meinungen oder Distributionen ."
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,"Die ASSA ABLOY Kaupthing Bank gab eine „neutrale"" Empfehlung und ein Aktienkursziel von 174 Kronen $ 24,7 - 19 Euro auf den schwedischen Schlosser Assa Abloy AB ."
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,"Der Posten beinhaltete Umstrukturierungskosten in Höhe von 1 ,6 Mio EUR , während sie ein Jahr zuvor 13,1 Mio EUR betrugen. Verdünnte EPS beliefen sich auf EUR0 ,3 gegenüber einem Verlust je Anteil von EUR 0,1 ."
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,"Im Jahr 2005 erzielte die Bank einen Nettogewinn von 8,2 Mio . Lt ."
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,"$AAPL Nachmittagsverkauf wie üblich wird brutal sein. machen Sie sich bereit, eine Tonne Geld zu verlieren."
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,"$TSLA erinnern so ziemlich jedes einzelne Modell X @cnnbrk haben zu kurz, dass auch bei der Arbeit springen Sie im Geldhandel"
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,"Dolce & Gabbana hat die Europäische Union gebeten , Marimekko Corporation in einem andauernden Streit zwischen den beiden Unternehmen als """" Unikko """" Blumenmustermarke ungültig zu erklären ."
InterContinental Hotels first-quarter global room revenue lags estimates,negative,InterContinental Hotels im ersten Quartal globalen Raum Umsatz verzögert Schätzungen
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,"Nach Angaben der finnischen Rentenversicherungsgesellschaft Varma war Varma der Empfänger von mehr als zwei Dritteln der Einnahmen aus der einkommensbezogenen Rentendeckung , die in Finnland im Rahmen einer Ausschreibung im Wettbewerb standen ."
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,"Ein Teil , $ 12,5 Millionen , wird als Teil seiner Gewinne in einem früheren Patentstreit mit dem finnischen Telefonhersteller Nokia Oyj aufgezeichnet werden ."
"L&G still paying price for dividend cut during crisis, chief says",negative,"L&G noch zahlenden Preis für Dividendensenkung während der Krise, sagt Chef"
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,"Das Investitionsvolumen in den beiden Projektphasen wird auf 300 Mio USD ( 215,03 Mio EUR ) geschätzt ."
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,"Auf Russland entfielen 2009 9 % der Einnahmen des Magazinbereichs Lagardere oder 114,40 Mio . EUR ( 148,11 Mio . USD ) , die USA 18 % ."
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,"Das Unternehmen schätzt auch die bereits getätigten Investitionen auf einen Anstieg des Nettoumsatzes für 2010 ab 2009, als sie 141,7 Mio. EUR erreichten ."
Profit of the accounting period was EUR 0.3 mn .,neutral,"Der Gewinn des Geschäftsjahres betrug 0,3 Mio . EUR ."
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,"Die sechs Brauereien verzeichneten im vergangenen Jahr ein Wachstum von 5,2 Prozent bei den heimischen Bierverkäufen auf 270,21 Millionen Liter von 256,88 Millionen Litern im Jahr 2005."
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,"Im August bis Oktober 2010 belief sich das Ergebnis des Unternehmens vor Steuern auf 9,6 Mio . EUR gegenüber 0,5 Mio . EUR im entsprechenden Zeitraum 2009 ."
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,"Systeemitiimi die Vertriebs-und Projektressourcen werden auch gestärkt werden , Direktor Paul Skogberg sagte ."
Tesco share price jumps as Q3 sales top estimates,positive,Tesco Aktienkurssprünge als Q3 Umsatz Top-Schätzungen
The fine print is here .,neutral,Der Feinabdruck ist hier.
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,Der Preis für Baumstämme hat sich ab 2009 deutlich verbessert und auch der Preis für Pulpwood ist gestiegen.
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"So hat SysOpen Digia gemäß Kapitel 14 Abschnitt 21 des finnischen Companies Act 29.9.1978 - 734 das Eigentum an allen Aktien von Sentera erhalten , die einzuziehen sind ."
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,"Das verwässerte Ergebnis je Aktie ( EPS ) ging von 1,71 EUR auf 0,63 EUR zurück ."
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,"Um 15:37 Uhr östlicher Zeit wechselte ein Block von 2.400 Kontrakten zu einem Gebotspreis von $ 0,45."
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,"Zu den jüngsten Technologielieferungen gehören Raffinerietechnik an Anrak Aluminium , eine Eisenerz-Pelletieranlage an Tata Steel und Eisenerz-Sinteranlagen an Bhushan Steel ."
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,$VIPS ähnliche Muster wie Anfang Mai. Haben u verkaufen? Gleich jetzt..will gehen nach oben viel höher nach diesem Tropfen.
The firm generated sales of 187 mln eur in 2005 .,neutral,Das Unternehmen erzielte im Jahr 2005 einen Umsatz von 187 Mio. EUR.
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,"Stora Enso hatte auch Treffen mit den Arbeitsbehörden , Beschäftigung und wirtschaftliche Entwicklungszentren und Vertreter der Regierung , um Lösungen zu finden ."
AstraZeneca profit down as sales of stalwarts fade,negative,AstraZeneca Gewinn nach unten als Umsatz von stalwarts verblassen
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO Verrückt aussehende Charts, aber näher an Breakout-Widerstandslinie..."
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,Die meisten bullischen Aktien auf Twitter während dieser Dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY mehr: https://t.co/iuZJelfwt3
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,Der Nettoumsatz der finnischen GeoSentric sank im Januar bis März 2009 auf 939.000 EUR .
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,"Cohen & Steers , Inc. : 5 534 626 Aktien , die 4,985 % des Grundkapitals und der Stimmrechte ausmachen ."
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,"Mehr Mitarbeiter wurden in Japan rekrutiert, um ihr Netzwerk von nahezu 50 Servicestandorten in mehr als 20 Ländern weltweit weiter zu ergänzen."
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,"Die Papierfirmen befanden sich in negativen Gebieten , mit Stora Enso R 1,62 pct bis 12,73 eur , UPM-Kymmene um 0,80 pct bei 18,64 eur und M-real B 0,18 pct niedriger bei 5,57 eur ."
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,"Die zentralisierte Verwaltung von Kauko-Telko wird aufgelöst , und bis Ende des Jahres werden entsprechende Teile davon auf die operative Tätigkeit und die Gruppenverwaltung übertragen ."
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,"Das Betriebsergebnis für das Quartal April-Juni 2006 belief sich auf 182 ,2 Mio. EUR bei einem Umsatz von 3 ,62 Mrd. EUR ."
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,"Atria wählte die DeLight, um Verbraucher in der Altersgruppe 25-45 zu seiner Atria Fresh Palette von mikrowellenfähigen Mahlzeiten anzuziehen."
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,"Der finnische IT-Lösungsanbieter Affecto Oyj HEL: AFE1V sagte heute, dass er im zweiten Quartal 2010 einen Nettoverlust von 115.000 USD 152.000 EUR aus einem Gewinn von 845.000 EUR im entsprechenden Zeitraum des Vorjahres verzeichnete ."
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,US-Sanktionen setzen Gazprom-Shell-Allianzpläne in Gefahr
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,"Der Gewinn für den Zeitraum betrug 10,9 Mio EUR , gegenüber 14,3 Mio EUR im Jahr 2009 ."
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,"Der Periodenüberschuss betrug 5,9 Mio EUR , gegenüber 1,3 Mio EUR ."
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,"Das Betriebsergebnis fiel von 74,2 Mio EUR im zweiten Quartal 2008 auf 20,3 Mio EUR ."
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,"Allerdings kehrte der Umsatz im April-Juni 2010 zu Wachstum , sagte CEO Pekka Eloholma ."
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,"Das Betriebsergebnis belief sich auf 18,6 Mio EUR bzw . 8,3 % des Nettoumsatzes ."
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,"Veränderungen in der Marktlage und der härteren Preiskonkurrenz haben die Nachfrage nach Brotverpackungen, die im Werk Kauhava hergestellt wurden, laut dem Unternehmen erheblich reduziert."
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,Im Zusammenhang mit dem Deal wird Digia 19 Personen aus Nokia in Oslo und im Silicon Valley in den USA beschäftigen.
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"Die brasilianische Einheit der finnischen Sicherheitslösungen Anbieter F-Secure unterzeichnet 1.500 neue Kunden im vergangenen Jahr , Online-News-Quelle Reseller Web zitiert die Division der kommerziellen Direktor , Vladimir Brand+úo , wie gesagt ."
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,"Der beizulegende Zeitwert der Anlageimmobilien des Unternehmens ging Ende 2009 von 2,916 Mrd. EUR im Vorjahr auf 2,768 Mrd. EUR zurück ."
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,"Händler sagten, die Aktie wurde weitgehend von Anleger enttäuscht über eine Raffination Marge von nur 9.48 usd pro Barrel für das Quartal und die Leistung seiner Versandeinheit , die EBIT sank auf 5 mln eur von 20 mln eur ein Jahr inmitten eines Rückgangs der Volumen und Tankerraten ."
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,""" Es ist ein Beweis für die Qualität unserer LTE-Lösung und unser Engagement für den japanischen Markt "", fügte er hinzu ."
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,"Ziel der Unternehmen ist es , die Verhandlungen abzuschließen und die Verträge Anfang Oktober 2008 zu unterzeichnen ."
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,"Metso Foundries Jyvaskyla Oy wird die Produktion auf dieser Linie bis zum 30. September 2008 einstellen , sagte das Unternehmen ."
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,"Insgesamt sechs der befragten Analysten bewerteten M-real -- zwei gaben `` kaufen '' - `` sammeln '' , drei gaben `` halten '' und nur einer gab `` verkaufen '' ."
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,"Im September 2010 erklärte sich die finnische Gruppe bereit , das dänische Unternehmen Rose Poultry A-S in einer Kombination aus Bargeld und Aktien für bis zu 23,9 Mio EUR zu erwerben ."
$YANG Double bottom 5.2,positive,$YANG Doppelte Unterseite 5.2
Tesco share price down as grocer faces SFO investigation outcome,negative,Tesco-Aktienkurs nach unten als Lebensmittelhändler konfrontiert SFO Untersuchungsergebnisse
$aapl news is becoming very bullish again http://stks.co/tMU,positive,Die Nachrichten von $aapl werden wieder sehr bullisch http://stks.co/tMU
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,"GS Engineering wird die Ventile in einer verflüssigten Erdgas LNG-Anlage, die es für die VAE LNG-Absaugung und Gasanlagen Betreiber GASCO in Ruwais, VAE gebaut hat installieren."
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,Die Prozentsätze der Aktien und Stimmrechte wurden im Verhältnis zur Gesamtzahl der im Handelsregister eingetragenen Aktien und zur Gesamtzahl der Stimmrechte berechnet .
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,"M-Real sagte, es gibt ` keine Gründe ' für die Gerüchte , die ` seit einigen Monaten auf dem Markt zirkulieren . """
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,"Lember sagte, dass die Angelegenheit auch in Estland aktuell war , wo ein Gesetzentwurf beim Ministerium für soziale Angelegenheiten ausgearbeitet wurde , das Altersrenten zu günstigen Bedingungen abschaffen würde ."
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,"- Moody 's sagte, es gab P A1 langfristige Senior unbesichert und P P-1 kurzfristige Schuldenratings an finnische Kreditgeber Aktia Bank's EUR1 Mrd USD1 ,4 Mrd. Euro mittelfristige Note EMTN Programm vom 25 . März 2011 ."
$TSLA recall,negative,$TSLA zurückrufen
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,"Die Bereitstellung der Liquidität wurde am 11 . Mai 2007 unterbrochen , als die Aktien der Aspocomp Group Oyj unter 0,50 Cent gehandelt wurden ."
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,"Hargreaves Lansdown Dollars schwache Märkte zu sehen Assets steigen 2,6 Prozent"
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,"Um 12.59 Uhr war der OMX Helsinki 25 Index mit 2.694.81 0,32 pct niedriger ."
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,Die Entscheidung bedeutet zeitlich befristete Entlassungen in den Unternehmenseinheiten Nastola und Jyvaskyla in Süd- bzw . Zentralfinnland .
The value of the orders is over EUR 10mn .,neutral,Der Auftragswert beträgt über EUR 10 Mio .
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,Frau Laakso wird für die HR-Funktionen von HKScan und ihre Entwicklung in allen Bereichen der Gruppe verantwortlich sein .
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,"Fiskars ist auch in der globalen Lieferung von marinen und Energie-Ausrüstungslösungen und -Dienstleistungen durch die angeschlossene Firma, Wartsila Corporation engagiert."
Aberdeen Asset Management Gains Foothold In China,positive,Aberdeen Asset Management gewinnt Fuß in China
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,"Finnlands dominierendes Eisenbahnunternehmen VR plant, die infizierten Passagiere für eine Fernreise in einem separaten Wagen zu setzen."
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,"Im November verringerte die finnische Regierung ihre Beteiligung an dem Unternehmen weiter auf 31,1 Prozent von 38 Prozent ."
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,"Finnlands Exel Composites , ein Technologieunternehmen , das Composite-Profile und -Röhren für verschiedene industrielle Anwendungen entwickelt , herstellt und vermarktet , meldet im zweiten Quartal 2010 einen Rückgang des Nettoumsatzes um 0,6 % von 19,3 Mio EUR im entsprechenden Zeitraum 2009 auf 19,2 Mio EUR ."
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,"Von den Gemeinschaftsunternehmen Bavelloni's und NST , Bavelloni Tools , fertigt Halbprodukte , die in Italien hergestellt werden, zu hochwertigen Werkzeugen , die unter der Marke DiaPol verkauft werden ."
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,"Das Werkzeug ist ein Patent anhängig Design, das es Verbrauchern ermöglicht, ihr gesamtes Projekt auf einer abnehmbaren Platte mit mehreren klaren Stempeln jeglicher Art zu legen."
$GOOGL is a short below 740 into the upper BB and is overbought,negative,$GOOGL ist eine kurze unter 740 in die obere BB und ist überkauft
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,"LICHTS OUT Vor der Ausgangssperre , curl up mit dem neuesten Bestseller und behandeln Sie Ihre Augen auf das perfekte Leselicht von Luceplan ."
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,"UPM-Kymmene Corp , der weltweit größte Hersteller von Zeitschriftenpapier , meldete am Dienstag einen Gewinnrückgang von 19 Prozent als niedrigere Papierpreise , höhere Kosten und starke Euro-Einnahmen ."
The total value of the contract is some EUR 8 million .,neutral,Der Gesamtwert des Auftrags beläuft sich auf rund 8 Mio EUR .
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,"Voraussetzung für die Aufnahme in das Programm und für den Erhalt etwaiger Gewinne ist , dass wichtige Mitarbeiter Aktien von Aspo in dem vom Vorstand im Voraus festgelegten Betrag in der maximalen Höhe erwerben ."
